Year;Area 3.a;Area 2.a and 4;Area 7.d;RJU 7.d-e;Area 6a-b and 7a-c, 7e-k;Area 8 and 9;
2009;68;1643;1044;;15748;6423;
2010;58;1397;887;;13387;5459;
2011;58;1397;887;;11379;4640;
2012;58;1395;887;;9915;4222;
2013;52;1256;798;;8924;3800;
2014;47;1256;798;;8032;3420;
2015;47;1382;878;;8032;3420;
2016;47;1313;966;;8032;3420;
2017;47;1378;1063;;8434;3762;
2018;47;1654;1276;;9699;4326;
2019;47;1654;1404;234;10184;4759;
2020;47;1737;1474;234;10184;4759;
2021;45;1650;1400;234;9675;5129;
2022;48;1764;1497;234;9482;5140;
;;;;;;;
;;;;;;;
