"","stock","year","advice"
"1","rjc.27.3a47d",2016,2110
"2","rjc.27.3a47d",2017,2110
"3","rjc.27.3a47d",2018,2574
"4","rjc.27.3a47d",2019,2574
"5","rjc.27.3a47d",2020,2237
"6","rjc.27.3a47d",2021,2237
"7","rjc.27.3a47d",2022,2446
"8","rjc.27.6",2016,205
"9","rjc.27.6",2017,145
"10","rjc.27.6",2018,145
"11","rjc.27.6",2019,174
"12","rjc.27.6",2020,174
"13","rjc.27.6",2021,137
"14","rjc.27.6",2022,137
"15","rjc.27.7afg",2016,1235
"16","rjc.27.7afg",2017,1386
"17","rjc.27.7afg",2018,1386
"18","rjc.27.7afg",2019,1663
"19","rjc.27.7afg",2020,1663
"20","rjc.27.7afg",2021,1596
"21","rjc.27.7afg",2022,1596
"22","rjc.27.7e",2016,260
"23","rjc.27.7e",2017,212
"24","rjc.27.7e",2018,212
"25","rjc.27.7e",2019,212
"26","rjc.27.7e",2020,212
"27","rjc.27.7e",2021,170
"28","rjc.27.7e",2022,170
"29","rjc.27.8",2016,238
"30","rjc.27.8",2017,434
"31","rjc.27.8",2018,434
"32","rjc.27.8",2019,276
"33","rjc.27.8",2020,276
"34","rjc.27.8",2021,389
"35","rjc.27.8",2022,389
"36","rjc.27.9a",2016,911
"37","rjc.27.9a",2017,1203
"38","rjc.27.9a",2018,1203
"39","rjc.27.9a",2019,1431
"40","rjc.27.9a",2020,1431
"41","rjc.27.9a",2021,1717
"42","rjc.27.9a",2022,1717
"43","rje.27.7de",2016,86
"44","rje.27.7de",2017,72
"45","rje.27.7de",2018,72
"46","rje.27.7de",2019,80
"47","rje.27.7de",2020,80
"48","rje.27.7de",2021,80
"49","rje.27.7de",2022,80
"50","rje.27.7fg",2016,188
"51","rje.27.7fg",2017,154
"52","rje.27.7fg",2018,154
"53","rje.27.7fg",2019,192
"54","rje.27.7fg",2020,192
"55","rje.27.7fg",2021,123
"56","rje.27.7fg",2022,123
"57","rjf.27.67",2016,186
"58","rjf.27.67",2017,420
"59","rjf.27.67",2018,420
"60","rjf.27.67",2019,168
"61","rjf.27.67",2020,336
"62","rjf.27.67",2021,168
"63","rjf.27.67",2022,168
"64","rjh.27.4a6",2016,12
"65","rjh.27.4a6",2017,6
"66","rjh.27.4a6",2018,12
"67","rjh.27.4a6",2019,18
"68","rjh.27.4a6",2020,18
"69","rjh.27.4a6",2021,18
"70","rjh.27.4a6",2022,14
"71","rjh.27.4bc7d",2016,162
"72","rjh.27.4bc7d",2017,162
"73","rjh.27.4bc7d",2018,195
"74","rjh.27.4bc7d",2019,195
"75","rjh.27.4bc7d",2020,164
"76","rjh.27.4bc7d",2021,164
"77","rjh.27.4bc7d",2022,191
"78","rjh.27.7afg",2016,897
"79","rjh.27.7afg",2017,895
"80","rjh.27.7afg",2018,895
"81","rjh.27.7afg",2019,716
"82","rjh.27.7afg",2020,716
"83","rjh.27.7afg",2021,716
"84","rjh.27.7afg",2022,716
"85","rjh.27.7e",2016,310
"86","rjh.27.7e",2017,333
"87","rjh.27.7e",2018,333
"88","rjh.27.7e",2019,266
"89","rjh.27.7e",2020,266
"90","rjh.27.7e",2021,266
"91","rjh.27.7e",2022,266
"92","rjh.27.9a",2016,200
"93","rjh.27.9a",2017,177
"94","rjh.27.9a",2018,177
"95","rjh.27.9a",2019,212
"96","rjh.27.9a",2020,212
"97","rjh.27.9a",2021,254
"98","rjh.27.9a",2022,254
"99","rji.27.67",2016,39
"100","rji.27.67",2017,42
"101","rji.27.67",2018,42
"102","rji.27.67",2019,34
"103","rji.27.67",2020,34
"104","rji.27.67",2021,34
"105","rji.27.67",2022,34
"106","rjm.27.3a47d",2016,292
"107","rjm.27.3a47d",2017,292
"108","rjm.27.3a47d",2018,291
"109","rjm.27.3a47d",2019,291
"110","rjm.27.3a47d",2020,301
"111","rjm.27.3a47d",2021,301
"112","rjm.27.3a47d",2022,232
"113","rjm.27.67bj",2016,53
"114","rjm.27.67bj",2017,67
"115","rjm.27.67bj",2018,67
"116","rjm.27.67bj",2019,80
"117","rjm.27.67bj",2020,80
"118","rjm.27.67bj",2021,51
"119","rjm.27.67bj",2022,51
"120","rjm.27.7ae-h",2016,1118
"121","rjm.27.7ae-h",2017,1197
"122","rjm.27.7ae-h",2018,1197
"123","rjm.27.7ae-h",2019,1296
"124","rjm.27.7ae-h",2020,1296
"125","rjm.27.7ae-h",2021,1041
"126","rjm.27.7ae-h",2022,1041
"127","rjm.27.8",2016,94
"128","rjm.27.8",2017,115
"129","rjm.27.8",2018,115
"130","rjm.27.8",2019,108
"131","rjm.27.8",2020,108
"132","rjm.27.8",2021,129
"133","rjm.27.8",2022,129
"134","rjm.27.9a",2016,106
"135","rjm.27.9a",2017,112
"136","rjm.27.9a",2018,112
"137","rjm.27.9a",2019,108
"138","rjm.27.9a",2020,108
"139","rjm.27.9a",2021,108
"140","rjm.27.9a",2022,108
"141","rjn.27.3a4",2016,128
"142","rjn.27.3a4",2017,128
"143","rjn.27.3a4",2018,116
"144","rjn.27.3a4",2019,116
"145","rjn.27.3a4",2020,139
"146","rjn.27.3a4",2021,139
"147","rjn.27.3a4",2022,89
"148","rjn.27.678abd",2016,5994
"149","rjn.27.678abd",2017,8202
"150","rjn.27.678abd",2018,8202
"151","rjn.27.678abd",2019,9843
"152","rjn.27.678abd",2020,9843
"153","rjn.27.678abd",2021,9450
"154","rjn.27.678abd",2022,6300
"155","rjn.27.8c",2016,347
"156","rjn.27.8c",2017,27
"157","rjn.27.8c",2018,27
"158","rjn.27.8c",2019,26
"159","rjn.27.8c",2020,26
"160","rjn.27.8c",2021,31
"161","rjn.27.8c",2022,31
"162","rjn.27.9a",2016,46
"163","rjn.27.9a",2017,58
"164","rjn.27.9a",2018,58
"165","rjn.27.9a",2019,70
"166","rjn.27.9a",2020,70
"167","rjn.27.9a",2021,84
"168","rjn.27.9a",2022,84
"169","rju.27.7bj",2016,0
"170","rju.27.7bj",2017,0
"171","rju.27.7bj",2018,0
"172","rju.27.7bj",2019,0
"173","rju.27.7bj",2020,0
"174","rju.27.7de",2016,0
"175","rju.27.7de",2017,130
"176","rju.27.7de",2018,230
"177","rju.27.7de",2019,230
"178","rju.27.7de",2020,230
"179","rju.27.7de",2021,366
"180","rju.27.7de",2022,366
